conversation_id,Conversational Authenticity,Threat Severity,clean_conversation_text,sanitized_conversation_text,has_narrative_leakage,text_length,word_count,exclamation_count,question_count,uppercase_ratio,digit_count,url_present,urgency_keyword_present,sensitive_request_keyword_present,task_domain,channel,Communication Medium,Emotional State,Verification Behavior,urgency_score_0_10
1049,Suspicious,High,"The sender references asking for class notes naturally at first, yet the later wording becomes formal, optimized, and emotionally persuasive. The suspicious part is that the sender offers a reward for immediate confirmation while demanding that the receiver click an unknown payment link.","The sender references asking for class notes naturally at first, yet the later wording becomes formal, optimized, and emotionally persuasive. the sender offers a reward for immediate confirmation while demanding that the receiver click an unknown payment link.",True,288,43,0,0,0.0083,0,0,1,0,banking,WhatsApp,Text,sympathy,Avoids verification,6
8471,Fake,Medium,"The conversation shifts into template-style advice on discussing a project deadline, where the sender sounds helpful but avoids direct personal accountability. The request becomes unsafe because it combines identity uncertainty with a sensitive action.","advice on discussing a project deadline, where the sender sounds helpful but avoids direct personal accountability. The request becomes unsafe because it combines identity uncertainty with a sensitive action.",False,252,34,0,0,0.0093,0,0,1,0,social media account,WhatsApp,Email,authority,Allows verification,5
16147,Real,Low,"Sophia follows up with the tax support desk about clarifying a software installation issue, but the message remains safe because it avoids suspicious links and avoids emotional pressure. The receiver can verify it through the tax support desk, so the risk remains limited.","Sophia follows up with the tax support desk about clarifying a software installation issue, but. The receiver can verify it through the tax support desk,.",True,272,43,0,0,0.0088,0,0,0,0,research collaboration,Email,Email,trust,Allows verification,1
17225,Real,Low,"A routine message from Mahnoor discusses checking availability for a call; the sender refers to a previous meeting accurately, keeps the tone calm, and gives no instruction involving money or secrecy. The receiver can verify it through the telecom office, so the risk remains limited.","A routine message from Mahnoor discusses checking availability for a call; the sender refers to a previous meeting accurately, keeps the tone calm, and gives no instruction involving money or secrecy. The receiver can verify it through the telecom office,.",True,284,45,0,0,0.0128,0,0,0,0,clinic follow-up,Chat App,Voice Transcript,none,No verification needed,2
17037,Real,Low,"Sophia follows up with the pharmacy desk about following up on an appointment, but the message remains safe because it does not ask for secrecy and avoids emotional pressure. The receiver can verify it through the pharmacy desk, so the risk remains limited.","Sophia follows up with the pharmacy desk about following up on an appointment, but. The receiver can verify it through the pharmacy desk,.",True,257,43,0,0,0.0095,0,0,0,0,online shopping,SMS,Text,trust,Allows verification,1
15551,Fake,Critical,"The sender creates a believable story around sharing a delivery update, but then offers a reward for immediate confirmation, applies authority pressure, and requests that the receiver avoid calling the official office. The risk increases because the message links banking with authority and immediate compliance.","The sender creates a believable story around sharing a delivery update, but then offers a reward for immediate confirmation, applies authority pressure, and requests that the receiver avoid calling the official office. the message links banking with authority and immediate compliance.",True,312,45,0,0,0.0076,0,0,1,0,banking,Voice Transcript,Voice Transcript,authority,Avoids verification,9
428,Fake,High,"The sender repeats support-style phrases about tax office, ignores clarification, and keeps moving the user toward a suspicious external form. The risk increases because the message links tax office with curiosity and immediate compliance.","The sender repeats support-style phrases about tax office, ignores clarification, and keeps moving the user toward a suspicious external form. the message links tax office with curiosity and immediate compliance.",True,239,34,0,0,0.01,0,0,1,0,tax office,Chat App,Chat App,curiosity,Pushes immediate action,4
8344,Fake,Critical,"A fake-looking conversation about travel booking asks the receiver to approve a suspicious request, while the sender ignores a direct question and repeats the instruction and avoids a clear identity check. The request becomes unsafe because it combines identity uncertainty with a sensitive action.","about travel booking asks the receiver to approve a suspicious request, while the sender ignores a direct question and repeats the instruction and avoids a clear identity check. The request becomes unsafe because it combines identity uncertainty with a sensitive action.",True,298,44,0,0,0.008,0,0,0,0,travel booking,SMS,Voice Transcript,urgency,Pushes immediate action,10
7201,Suspicious,Medium,"A partially human message discusses confirming a payment receipt, but the final request is reframed with polished language, asks for a screenshot of a confirmation code, and stronger compliance pressure. The conversation attempts to control the receiver's next action rather than allow independent verification.","A partially human message discusses confirming a payment receipt, but the final request is reframed with polished language, asks for a screenshot of a confirmation code, and stronger compliance pressure. The conversation attempts to control the receiver's next action rather than allow independent verification.",False,311,44,0,0,0.0076,0,0,0,0,government service,Social Media DM,Text,sympathy,Allows verification,6
4495,Fake,Critical,"The message imitates the hospital desk, creates a deadline around electricity complaint, pushes the receiver away from normal support channels, and discourages the receiver from verifying independently. The suspicious part is that the sender ignores a direct question and repeats the instruction while demanding that the receiver avoid calling the official office.","The message imitates the hospital desk, creates a deadline around electricity complaint, pushes the receiver away from normal support channels, and discourages the receiver from verifying independently. the sender ignores a direct question and repeats the instruction while demanding that the receiver avoid calling the official office.",True,364,52,0,0,0.0065,0,0,1,0,electricity complaint,Social Media DM,Voice Transcript,panic,Requests secrecy,10
13739,Fake,High,"A suspicious sender pretends to be Police Officer, claims there is a problem in loan approval, claims the old number is unavailable, and asks the receiver to avoid calling the official office. The suspicious part is that the sender adds emotional pressure after the receiver hesitates while demanding that the receiver reply with card details.","pretends to be Police Officer, claims there is a problem in loan approval, claims the old number is unavailable, and asks the receiver to avoid calling the official office. the sender adds emotional pressure after the receiver hesitates while demanding that the receiver reply with card details.",True,343,55,0,0,0.0141,0,0,0,0,loan approval,WhatsApp,Voice Transcript,fear,Refuses call-back,7
11898,Real,Low,"Danish writes about following up on an appointment in the clinic follow-up setting, and the conversation stays practical because the sender provides enough context for the request and simply asks the receiver to send the revised file. The conversation remains focused on coordination rather than pressure or reward.","Danish writes about following up on an appointment in the clinic follow-up setting, and the conversation stays practical because the sender provides enough context for the request and simply asks the receiver to send the revised file. The conversation remains focused on coordination rather than pressure or reward.",False,315,48,0,0,0.0076,0,0,0,0,clinic follow-up,WhatsApp,Voice Transcript,trust,Provides normal verification,0
418,Fake,High,"The sender repeats support-style phrases about remote work, ignores clarification, and keeps moving the user toward a suspicious external form. The risk increases because the message links remote work with curiosity and immediate compliance.","The sender repeats support-style phrases about remote work, ignores clarification, and keeps moving the user toward a suspicious external form. the message links remote work with curiosity and immediate compliance.",True,241,34,0,0,0.0099,0,0,1,0,remote work,Voice Transcript,Social Media DM,curiosity,Requests secrecy,6
7708,Real,Medium,"In a normal conversation about discussing travel arrangements, the sender asks to send the project update, gives enough background, and does not force immediate action. The sender gives the receiver enough time to check the details before replying.","In a normal conversation about discussing travel arrangements, the sender asks to send the project update, gives enough background, and does not force immediate action. The sender gives the receiver enough time to check the details before replying.",False,248,38,0,0,0.0097,0,0,1,0,job recruitment,Email,Voice Transcript,none,No verification needed,0
343,Real,Low,"A routine message from Omar discusses rescheduling a session; the sender provides enough context for the request, keeps the tone calm, and gives no instruction involving money or secrecy. The receiver can verify it through the tax support desk, so the risk remains limited.","A routine message from Omar discusses rescheduling a session; the sender provides enough context for the request, keeps the tone calm, and gives no instruction involving money or secrecy. The receiver can verify it through the tax support desk,.",True,273,44,0,0,0.0134,0,0,0,0,utility billing,Voice Transcript,Email,trust,Allows verification,0
18782,Real,Low,"Omar writes about requesting a fee challan in the university administration setting, and the conversation stays practical because the sender mentions a mutually known detail and simply asks the receiver to share the meeting agenda. The receiver can verify it through the travel agency, so the risk remains limited.","Omar writes about requesting a fee challan in the university administration setting, and the conversation stays practical because the sender mentions a mutually known detail and simply asks the receiver to share the meeting agenda. The receiver can verify it through the travel agency,.",True,314,49,0,0,0.0076,0,0,0,0,university administration,Chat App,Text,none,Provides normal verification,1
13010,Fake,Critical,"The sender creates a believable story around asking for class notes, but then mentions a deadline that was never announced, applies authority pressure, and requests that the receiver click an unknown payment link. The receiver is not given a safe chance to confirm the claim through the bank.","The sender creates a believable story around asking for class notes, but then mentions a deadline that was never announced, applies authority pressure, and requests that the receiver click an unknown payment link. The receiver is not given a safe chance to confirm the claim through the bank.",True,292,48,0,0,0.0083,0,0,1,0,hospital appointment,Social Media DM,WhatsApp,authority,Requests secrecy,10
1014,Fake,High,"The message imitates the mobile wallet team, creates a deadline around social media account, claims the system will automatically close the request, and discourages the receiver from verifying independently. The suspicious part is that the sender refers to a blocked dashboard notification while demanding that the receiver confirm a login code.","The message imitates the mobile wallet team, creates a deadline around social media account, claims the system will automatically close the request, and discourages the receiver from verifying independently. the sender refers to a blocked dashboard notification while demanding that the receiver confirm a login code.",True,345,51,0,0,0.0069,0,0,1,0,social media account,WhatsApp,Voice Transcript,guilt,Refuses call-back,7
10692,Real,Low,"Usman follows up with the tax support desk about following up on an appointment, but the message remains safe because it uses the official portal for verification and avoids emotional pressure. The receiver can verify it through the tax support desk, so the risk remains limited.","Usman follows up with the tax support desk about following up on an appointment, but. The receiver can verify it through the tax support desk,.",True,279,46,0,0,0.0087,0,0,0,0,social media account,Voice Transcript,Voice Transcript,trust,Allows verification,2
9034,Real,Low,"A routine message from Sara discusses clarifying a software installation issue; the sender allows time for checking the information, keeps the tone calm, and gives no instruction involving money or secrecy. The sender gives the receiver enough time to check the details before replying.","A routine message from Sara discusses clarifying a software installation issue; the sender allows time for checking the information, keeps the tone calm, and gives no instruction involving money or secrecy. The sender gives the receiver enough time to check the details before replying.",False,286,44,0,0,0.0126,0,0,0,0,visa documentation,Email,Text,none,Provides normal verification,0
19113,Fake,High,"The sender creates a believable story around asking about lunch plans, but then says the issue cannot wait until morning, applies authority pressure, and requests that the receiver transfer money quickly. The risk increases because the message links internet service with authority and immediate compliance.","The sender creates a believable story around asking about lunch plans, but then says the issue cannot wait until morning, applies authority pressure, and requests that the receiver transfer money quickly. the message links internet service with authority and immediate compliance.",True,307,45,0,0,0.0078,0,0,1,1,internet service,Voice Transcript,Voice Transcript,authority,Requests secrecy,7
13856,Real,Low,"In a normal conversation about asking about lunch plans, the sender asks to confirm attendance, gives enough background, and does not force immediate action. The sender gives the receiver enough time to check the details before replying.","In a normal conversation about asking about lunch plans, the sender asks to confirm attendance, gives enough background, and does not force immediate action. The sender gives the receiver enough time to check the details before replying.",False,237,37,0,0,0.0102,0,0,1,0,investment platform,Social Media DM,Text,none,No verification needed,0
1428,Suspicious,Medium,"The sender references requesting updated bank details naturally at first, yet the later wording becomes formal, optimized, and emotionally persuasive. The risk increases because the message links medical lab report with authority and immediate compliance.","The sender references requesting updated bank details naturally at first, yet the later wording becomes formal, optimized, and emotionally persuasive. the message links medical lab report with authority and immediate compliance.",True,255,35,0,0,0.0093,0,0,1,1,medical lab report,Voice Transcript,Text,authority,Pushes immediate action,3
5391,Real,Low,"A routine message from James discusses clarifying a software installation issue; the sender provides enough context for the request, keeps the tone calm, and gives no instruction involving money or secrecy. The message includes normal context and does not ask the receiver to bypass official steps.","A routine message from James discusses clarifying a software installation issue; the sender provides enough context for the request, keeps the tone calm, and gives no instruction involving money or secrecy. The message includes normal context and does not ask the receiver to bypass official steps.",False,298,46,0,0,0.0121,0,0,0,0,school communication,Email,Text,trust,Provides normal verification,0
3773,Fake,Medium,"The conversation shifts into template-style advice on requesting a fee challan, where the sender sounds helpful but avoids direct personal accountability. The request becomes unsafe because it combines identity uncertainty with a sensitive action.","advice on requesting a fee challan, where the sender sounds helpful but avoids direct personal accountability. The request becomes unsafe because it combines identity uncertainty with a sensitive action.",False,247,34,0,0,0.0095,0,0,0,0,pharmacy delivery,SMS,Email,authority,Allows verification,3
936,Fake,High,"The text uses smooth transitions and complete sentences about hostel management, yet it feels artificial because it ignores the practical question raised earlier. The conversation attempts to control the receiver's next action rather than allow independent verification.","The text uses smooth transitions and complete sentences about hostel management, yet it feels artificial because it ignores the practical question raised earlier. The conversation attempts to control the receiver's next action rather than allow independent verification.",False,270,37,0,0,0.0087,0,0,0,0,hostel management,WhatsApp,Text,authority,Avoids verification,4
15772,Suspicious,Medium,"The message is suspiciously mixed: it begins with informal human wording, then gives no verifiable institutional contact and turns into a carefully persuasive request. The risk increases because the message links conference registration with sympathy and immediate compliance.","The message is suspiciously mixed: it begins with informal human wording, then gives no verifiable institutional contact and turns into a carefully persuasive request. the message links conference registration with sympathy and immediate compliance.",True,276,38,0,0,0.0085,0,0,1,0,conference registration,Email,Text,sympathy,Pushes immediate action,7
19915,Fake,High,"The message imitates the online store, creates a deadline around hospital appointment, offers a reward for immediate confirmation, and discourages the receiver from verifying independently. The request becomes unsafe because it combines identity uncertainty with a sensitive action.","The message imitates the online store, creates a deadline around hospital appointment, offers a reward for immediate confirmation, and discourages the receiver from verifying independently. The request becomes unsafe because it combines identity uncertainty with a sensitive action.",False,282,38,0,0,0.0083,0,0,1,0,hospital appointment,Email,Voice Transcript,fear,Pushes immediate action,9
17057,Fake,Medium,"The conversation shifts into template-style advice on requesting a fee challan, where the sender sounds helpful but avoids direct personal accountability. The risk increases because the message links family emergency with trust and immediate compliance.","advice on requesting a fee challan, where the sender sounds helpful but avoids direct personal accountability. the message links family emergency with trust and immediate compliance.",True,253,35,0,0,0.0093,0,0,1,0,family emergency,Chat App,Email,trust,Avoids verification,3
15908,Fake,Critical,"The message imitates the scholarship office, creates a deadline around charity donation, adds a reference number without a traceable source, and discourages the receiver from verifying independently. The request becomes unsafe because it combines identity uncertainty with a sensitive action.","The message imitates the scholarship office, creates a deadline around charity donation, adds a reference number without a traceable source, and discourages the receiver from verifying independently. The request becomes unsafe because it combines identity uncertainty with a sensitive action.",False,292,40,0,0,0.0081,0,0,1,0,charity donation,Email,Voice Transcript,authority,Requests secrecy,8
18695,Fake,Critical,"The sender creates a believable story around coordinating with a colleague, but then claims the system will automatically close the request, applies urgency pressure, and requests that the receiver upload an identity document. The receiver is not given a safe chance to confirm the claim through the online store.","The sender creates a believable story around coordinating with a colleague, but then claims the system will automatically close the request, applies urgency pressure, and requests that the receiver upload an identity document. The receiver is not given a safe chance to confirm the claim through the online store.",True,313,49,0,0,0.0077,0,0,0,0,utility billing,WhatsApp,WhatsApp,urgency,Pushes immediate action,10
16009,Fake,Critical,"The conversation becomes risky because it uses fear pressure, asks for a screenshot of a confirmation code, and pushes the receiver to approve a suspicious request without normal verification. The request becomes unsafe because it combines identity uncertainty with a sensitive action.","The conversation becomes risky because it uses fear pressure, asks for a screenshot of a confirmation code, and pushes the receiver to approve a suspicious request without normal verification. The request becomes unsafe because it combines identity uncertainty with a sensitive action.",True,285,42,0,0,0.0083,0,0,0,0,charity donation,SMS,Voice Transcript,fear,Pushes immediate action,7
13198,Fake,Medium,"The text uses smooth transitions and complete sentences about electricity complaint, yet it feels artificial because it ignores the practical question raised earlier. The suspicious part is that the sender shares a shortened link instead of an official portal while demanding that the receiver confirm a login code.","The text uses smooth transitions and complete sentences about electricity complaint, yet it feels artificial because it ignores the practical question raised earlier. the sender shares a shortened link instead of an official portal while demanding that the receiver confirm a login code.",True,315,48,0,0,0.0075,0,0,0,0,electricity complaint,Chat App,Email,confusion,Pushes immediate action,1
5901,Fake,Critical,"The account holder is told that connects loan approval with a sudden warning, uses a new contact number without explanation, and pressures the receiver to reply with card details before checking the source. The receiver is not given a safe chance to confirm the claim through the support center.","The account holder is told that connects loan approval with a sudden warning, uses a new contact number without explanation, and pressures the receiver to reply with card details before checking the source. The receiver is not given a safe chance to confirm the claim through the support center.",True,295,49,0,0,0.0082,0,0,0,0,loan approval,Social Media DM,Voice Transcript,fear,Pushes immediate action,10
18344,Fake,Medium,"A bot-like sender announces a benefit linked to conference registration, mentions a deadline that was never announced, and repeatedly asks the receiver to transfer money quickly. The suspicious part is that the sender mentions a delayed verification window while demanding that the receiver pay a small release fee.","A bot-like sender announces a benefit linked to conference registration, mentions a deadline that was never announced, and repeatedly asks the receiver to transfer money quickly. the sender mentions a delayed verification window while demanding that the receiver pay a small release fee.",True,315,48,0,0,0.0076,0,0,1,1,conference registration,Social Media DM,Chat App,urgency,Requests secrecy,7
12599,Fake,Medium,"The text uses smooth transitions and complete sentences about tax office, yet it feels artificial because it ignores the practical question raised earlier. The suspicious part is that the sender uses formal wording inconsistent with earlier messages while demanding that the receiver upload an identity document.","The text uses smooth transitions and complete sentences about tax office, yet it feels artificial because it ignores the practical question raised earlier. the sender uses formal wording inconsistent with earlier messages while demanding that the receiver upload an identity document.",True,312,46,0,0,0.0076,0,0,0,0,tax office,Voice Transcript,Chat App,none,Pushes immediate action,5
9046,Fake,Low,"The conversation shifts into template-style advice on sharing a delivery update, where the sender sounds helpful but avoids direct personal accountability. The receiver is not given a safe chance to confirm the claim through the exam office.","advice on sharing a delivery update, where the sender sounds helpful but avoids direct personal accountability. The receiver is not given a safe chance to confirm the claim through the exam office.",True,241,37,0,0,0.01,0,0,0,0,school communication,Email,Email,confusion,Avoids verification,5
3853,Fake,Critical,"A suspicious sender pretends to be Relative, claims there is a problem in hospital appointment, claims the system will automatically close the request, and asks the receiver to pay a small release fee. The risk increases because the message links hospital appointment with guilt and immediate compliance.","pretends to be Relative, claims there is a problem in hospital appointment, claims the system will automatically close the request, and asks the receiver to pay a small release fee. the message links hospital appointment with guilt and immediate compliance.",True,304,47,0,0,0.0119,0,0,1,1,hospital appointment,Social Media DM,Voice Transcript,guilt,Pushes immediate action,10
12224,Fake,Critical,"The conversation becomes risky because it uses panic pressure, claims the old number is unavailable, and pushes the receiver to pay a small release fee without normal verification. The receiver is not given a safe chance to confirm the claim through the HR department.","The conversation becomes risky because it uses panic pressure, claims the old number is unavailable, and pushes the receiver to pay a small release fee without normal verification. The receiver is not given a safe chance to confirm the claim through the HR department.",True,268,44,0,0,0.0181,0,0,0,1,hospital appointment,Email,Voice Transcript,panic,Requests secrecy,7
16749,Fake,Medium,"A long explanation about clinic follow-up appears polished but shallow, with generic reassurance, ignores a direct question and repeats the instruction, and no specific shared background. The suspicious part is that the sender claims the old number is unavailable while demanding that the receiver transfer money quickly.","A long explanation about clinic follow-up appears polished but shallow, with generic reassurance, ignores a direct question and repeats the instruction, and no specific shared background. the sender claims the old number is unavailable while demanding that the receiver transfer money quickly.",True,321,47,0,0,0.0074,0,0,0,1,clinic follow-up,WhatsApp,Email,trust,Allows verification,1
1417,Real,Low,"The dialogue is consistent with genuine communication because it discusses confirming office hours, does not introduce a sudden emergency, and contains no hidden identity claim. The request is linked to confirming office hours, and no confidential credential is requested.",", does not introduce a sudden emergency, and contains no hidden identity claim. The request is linked to confirming office hours, and no confidential credential is requested.",True,272,39,0,0,0.0087,0,0,0,1,online shopping,Chat App,Text,trust,Allows verification,0
9091,Real,Low,"In a normal conversation about confirming a supervisor meeting, the sender asks to bring the printed form, gives enough background, and does not force immediate action. The conversation remains focused on coordination rather than pressure or reward.","In a normal conversation about confirming a supervisor meeting, the sender asks to bring the printed form, gives enough background, and does not force immediate action. The conversation remains focused on coordination rather than pressure or reward.",False,249,37,0,0,0.0096,0,0,1,0,university administration,Email,Voice Transcript,trust,No verification needed,2
9492,Fake,High,"The conversation becomes risky because it uses guilt pressure, changes the topic when asked for proof, and pushes the receiver to transfer money quickly without normal verification. The risk increases because the message links scholarship application with guilt and immediate compliance.","The conversation becomes risky because it uses guilt pressure, changes the topic when asked for proof, and pushes the receiver to transfer money quickly without normal verification. the message links scholarship application with guilt and immediate compliance.",True,287,41,0,0,0.0082,0,0,1,1,scholarship application,WhatsApp,Voice Transcript,guilt,Refuses call-back,10
2356,Fake,High,"The chat has mass-message features, including reward wording, asks for a screenshot of a confirmation code, and a request to click an unknown payment link. The conversation attempts to control the receiver's next action rather than allow independent verification.","The chat has mass-message features, including reward wording, asks for a screenshot of a confirmation code, and a request to click an unknown payment link. The conversation attempts to control the receiver's next action rather than allow independent verification.",False,263,39,0,0,0.0092,0,0,0,0,tax office,WhatsApp,Social Media DM,reward,Requests secrecy,6
12384,Fake,Critical,"The conversation becomes risky because it uses guilt pressure, mentions a deadline that was never announced, and pushes the receiver to transfer money quickly without normal verification. The receiver is not given a safe chance to confirm the claim through the online store.","The conversation becomes risky because it uses guilt pressure, mentions a deadline that was never announced, and pushes the receiver to transfer money quickly without normal verification. The receiver is not given a safe chance to confirm the claim through the online store.",True,274,43,0,0,0.0088,0,0,1,1,electricity complaint,Voice Transcript,WhatsApp,guilt,Avoids verification,10
17157,Fake,Medium,"The generated-looking message provides neat steps for checking whether a form was received, but the tone is too uniform and the sender mentions a deadline that was never announced. The risk increases because the message links medical lab report with authority and immediate compliance.","The generated-looking message provides neat steps for checking whether a form was received, but the tone is too uniform and the sender mentions a deadline that was never announced. the message links medical lab report with authority and immediate compliance.",True,285,44,0,0,0.0084,0,0,1,0,medical lab report,SMS,Text,authority,Pushes immediate action,1
16669,Real,Low,"Danish writes about checking a meeting time in the property rental setting, and the conversation stays practical because the sender keeps the conversation focused on the original topic and simply asks the receiver to send the revised file. The receiver can verify it through the university portal, so the risk remains limited.","Danish writes about checking a meeting time in the property rental setting, and the conversation stays practical because the sender keeps the conversation focused on the original topic and simply asks the receiver to send the revised file. The receiver can verify it through the university portal,.",True,326,52,0,0,0.0074,0,0,0,0,property rental,Social Media DM,Text,none,Allows verification,2
12279,Fake,High,"The speaker claims a private emergency and connects internet service with a sudden warning, says the issue cannot wait until morning, and pressures the receiver to reply with card details before checking the source. The receiver is not given a safe chance to confirm the claim through the HR department.","The speaker claims a private emergency and connects internet service with a sudden warning, says the issue cannot wait until morning, and pressures the receiver to reply with card details before checking the source. The receiver is not given a safe chance to confirm the claim through the HR department.",True,303,50,0,0,0.016,0,0,0,0,internet service,Voice Transcript,Text,fear,Refuses call-back,9
9329,Fake,High,"A bot-like sender announces a benefit linked to job recruitment, shares a shortened link instead of an official portal, and repeatedly asks the receiver to pay a small release fee. The request becomes unsafe because it combines identity uncertainty with a sensitive action.","A bot-like sender announces a benefit linked to job recruitment, shares a shortened link instead of an official portal, and repeatedly asks the receiver to pay a small release fee. The request becomes unsafe because it combines identity uncertainty with a sensitive action.",False,273,43,0,0,0.0088,0,0,0,1,job recruitment,WhatsApp,SMS,authority,Avoids verification,6
14838,Suspicious,Medium,"Omar's message begins with a human note about rescheduling a session, then becomes unusually polished, avoids naming the branch or office, and adds persuasive pressure near the end. The suspicious part is that the sender pushes the receiver away from normal support channels while demanding that the receiver confirm a login code.","Omar's message begins with a human note about rescheduling a session, then becomes unusually polished, avoids naming the branch or office, and adds persuasive pressure near the end. the sender pushes the receiver away from normal support channels while demanding that the receiver confirm a login code.",True,330,52,0,0,0.0073,0,0,0,0,medical lab report,Email,Chat App,trust,Allows verification,5
3197,Real,Low,"The dialogue is consistent with genuine communication because it discusses sharing a delivery update, keeps the conversation focused on the original topic, and contains no hidden identity claim. The request is linked to sharing a delivery update, and no confidential credential is requested.",", keeps the conversation focused on the original topic, and contains no hidden identity claim. The request is linked to sharing a delivery update, and no confidential credential is requested.",True,291,43,0,0,0.0082,0,0,0,1,insurance claim,Social Media DM,Email,none,No verification needed,1
10737,Suspicious,Medium,"Bilal's message begins with a human note about asking for class notes, then becomes unusually polished, mentions a deadline that was never announced, and adds persuasive pressure near the end. The risk increases because the message links exam registration with sympathy and immediate compliance.","Bilal's message begins with a human note about asking for class notes, then becomes unusually polished, mentions a deadline that was never announced, and adds persuasive pressure near the end. the message links exam registration with sympathy and immediate compliance.",True,295,44,0,0,0.0081,0,0,1,0,exam registration,Chat App,Email,sympathy,Pushes immediate action,3
3681,Fake,High,"The text uses smooth transitions and complete sentences about government service, yet it feels artificial because it ignores the practical question raised earlier. The risk increases because the message links government service with confusion and immediate compliance.","The text uses smooth transitions and complete sentences about government service, yet it feels artificial because it ignores the practical question raised earlier. the message links government service with confusion and immediate compliance.",True,268,37,0,0,0.0087,0,0,1,0,government service,Social Media DM,Chat App,confusion,Avoids verification,3
