conversation_id,conversation_text,task_domain,channel,Conversational Authenticity,Conversation Type,Communication Medium,Manipulation Type,Malicious,Threat Severity,Impersonation,urgency_score_0_10,Emotional State,Verification Behavior,suggested_action
11,"The conversation mixes a realistic personal opening with AI-like rewritten sentences, making the request about utility billing sound smoother and more strategic. The conversation attempts to control the receiver's next action rather than allow independent verification.",utility billing,Social Media DM,Suspicious,Human + AI Edited Conversation,Text,Persuasive Reframing,E-commerce Scam,Medium,None,4,trust,Pushes immediate action,Verify First
12,"A fake-looking conversation about clinic follow-up asks the receiver to pay a small release fee, while the sender adds a reference number without a traceable source and avoids a clear identity check. The risk increases because the message links clinic follow-up with fear and immediate compliance.",clinic follow-up,WhatsApp,Fake,Voice-Cloned Conversation,Voice Transcript,Speaker Impersonation,Identity Fraud,Critical,Doctor,8,fear,Pushes immediate action,Block and Escalate
13,"A suspicious sender pretends to be Doctor, claims there is a problem in clinic follow-up, mentions a delayed verification window, and asks the receiver to transfer money quickly. The risk increases because the message links clinic follow-up with guilt and immediate compliance.",clinic follow-up,Voice Transcript,Fake,Voice-Cloned Conversation,Voice Transcript,Synthetic Speech,Medical Scam,High,Doctor,10,guilt,Refuses call-back,Warn User
14,"A fake-looking conversation about clinic follow-up asks the receiver to share a wallet PIN, while the sender changes the topic when asked for proof and avoids a clear identity check. The request becomes unsafe because it combines identity uncertainty with a sensitive action.",clinic follow-up,WhatsApp,Fake,Scam-Oriented Deepfake Conversation,WhatsApp,Emotional Manipulation,Banking Scam,High,Doctor,9,authority,Refuses call-back,Warn User
15,"The account holder is told that connects clinic follow-up with a sudden warning, adds emotional pressure after the receiver hesitates, and pressures the receiver to click an unknown payment link before checking the source. The suspicious part is that the sender uses formal wording inconsistent with earlier messages while demanding that the receiver share a wallet PIN.",clinic follow-up,SMS,Fake,Scam-Oriented Deepfake Conversation,Text,Authority Spoofing,Job Scam,High,Child,9,urgency,Avoids verification,Warn User
16,"The message imitates the clinic reception, creates a deadline around hostel management, gives no verifiable institutional contact, and discourages the receiver from verifying independently. The request becomes unsafe because it combines identity uncertainty with a sensitive action.",hostel management,WhatsApp,Fake,Scam-Oriented Deepfake Conversation,Voice Transcript,Authority Spoofing,Banking Scam,High,Government Officer,7,panic,Avoids verification,Warn User
17,"The sender creates a believable story around requesting a fee challan, but then pushes the receiver away from normal support channels, applies guilt pressure, and requests that the receiver pay a small release fee. The suspicious part is that the sender adds emotional pressure after the receiver hesitates while demanding that the receiver move the chat to another number.",exam registration,Chat App,Fake,Voice-Cloned Conversation,Voice Transcript,Synthetic Speech,Banking Scam,High,Friend,7,guilt,Refuses call-back,Warn User
18,"The dialogue is consistent with genuine communication because it discusses sending a polite reminder, does not ask for secrecy, and contains no hidden identity claim. The receiver can verify it through the visa center, so the risk remains limited.",hostel management,Voice Transcript,Real,Genuine Human Conversation,Text,None,None,Low,None,0,none,Allows verification,Allow
19,"The dialogue is consistent with genuine communication because it discusses asking about lunch plans, avoids suspicious links, and contains no hidden identity claim. The sender gives the receiver enough time to check the details before replying.",family emergency,WhatsApp,Real,Genuine Human Conversation,Email,None,None,Low,None,1,none,Allows verification,Allow
20,"Fahad writes about asking for class notes in the travel booking setting, and the conversation stays practical because the sender does not ask for secrecy and simply asks the receiver to confirm the address. The sender gives the receiver enough time to check the details before replying.",travel booking,Email,Real,Genuine Human Conversation,Email,None,None,Low,None,1,none,No verification needed,Allow
21,"The sender creates a believable story around asking for permission to submit late, but then mentions a deadline that was never announced, applies panic pressure, and requests that the receiver reply with card details. The receiver is not given a safe chance to confirm the claim through the billing department.",tax office,Email,Fake,Voice-Cloned Conversation,Voice Transcript,Voice Cloning,Emergency Financial Scam,Critical,Child,10,panic,Refuses call-back,Block and Escalate
22,"The sender creates a believable story around confirming office hours, but then adds a reference number without a traceable source, applies fear pressure, and requests that the receiver share a wallet PIN. The risk increases because the message links internet service with fear and immediate compliance.",internet service,WhatsApp,Fake,Voice-Cloned Conversation,Voice Transcript,Audio Identity Spoofing,Banking Scam,High,Police Officer,10,fear,Requests secrecy,Warn User
23,"The caller sounds familiar and connects social media account with a sudden warning, shares a shortened link instead of an official portal, and pressures the receiver to approve a suspicious request before checking the source. The request becomes unsafe because it combines identity uncertainty with a sensitive action.",social media account,Email,Fake,Scam-Oriented Deepfake Conversation,Text,Credential Harvesting,Lottery Scam,Critical,Customer Support,7,guilt,Pushes immediate action,Block and Escalate
24,"A routine message from Nimra discusses confirming office hours; the sender allows time for checking the information, keeps the tone calm, and gives no instruction involving money or secrecy. The receiver can verify it through the billing department, so the risk remains limited.",insurance claim,Chat App,Real,Genuine Human Conversation,Voice Transcript,None,None,Low,None,1,trust,No verification needed,Allow
25,"A fake-looking conversation about family emergency asks the receiver to transfer money quickly, while the sender claims the old number is unavailable and avoids a clear identity check. The receiver is not given a safe chance to confirm the claim through the hospital desk.",family emergency,Chat App,Fake,Voice-Cloned Conversation,Voice Transcript,Synthetic Speech,Identity Fraud,Critical,Parent,8,sympathy,Pushes immediate action,Block and Escalate
26,"Hina's message begins with a human note about confirming attendance, then becomes unusually polished, claims the old number is unavailable, and adds persuasive pressure near the end. The suspicious part is that the sender offers a reward for immediate confirmation while demanding that the receiver install a remote access app.",remote work,Chat App,Suspicious,Human + AI Edited Conversation,Text,Polished Manipulation,None,High,Customer Support,3,trust,Avoids verification,Warn User
27,"The exchange concerns following up on a courier delay, where Hassan provides a reasonable explanation, refers to a previous meeting accurately, and waits for the receiver to respond normally. The request is linked to following up on a courier delay, and no confidential credential is requested.",scholarship application,WhatsApp,Real,Genuine Human Conversation,Email,None,None,Low,None,1,none,Allows verification,Allow
28,"A fake-looking conversation about hostel management asks the receiver to click an unknown payment link, while the sender avoids naming the branch or office and avoids a clear identity check. The request becomes unsafe because it combines identity uncertainty with a sensitive action.",hostel management,Social Media DM,Fake,Voice-Cloned Conversation,Voice Transcript,Synthetic Speech,Medical Scam,High,Child,8,guilt,Refuses call-back,Warn User
29,"The exchange concerns sharing a delivery update, where Hina provides a reasonable explanation, uses the official portal for verification, and waits for the receiver to respond normally. The receiver can verify it through the insurance office, so the risk remains limited.",clinic follow-up,Email,Real,Genuine Human Conversation,Email,None,None,Low,None,1,trust,Provides normal verification,Allow
30,"The conversation becomes risky because it uses sympathy pressure, refers to a blocked dashboard notification, and pushes the receiver to pay a small release fee without normal verification. The risk increases because the message links loan approval with sympathy and immediate compliance.",loan approval,Chat App,Fake,Voice-Cloned Conversation,Voice Transcript,Audio Identity Spoofing,Emergency Financial Scam,Critical,Friend,10,sympathy,Refuses call-back,Block and Escalate
31,"A long explanation about mobile wallet appears polished but shallow, with generic reassurance, mentions a delayed verification window, and no specific shared background. The request becomes unsafe because it combines identity uncertainty with a sensitive action.",mobile wallet,Email,Fake,AI-Generated Text Conversation,Chat App,Template-Like Generation,Job Scam,High,Bank Officer,3,trust,Allows verification,Warn User
32,"Noah's message begins with a human note about confirming a payment receipt, then becomes unusually polished, changes the topic when asked for proof, and adds persuasive pressure near the end. The request becomes unsafe because it combines identity uncertainty with a sensitive action.",social media account,Social Media DM,Suspicious,Human + AI Edited Conversation,Text,Polished Manipulation,E-commerce Scam,High,Friend,4,authority,Allows verification,Warn User
33,"A fake-looking conversation about hostel management asks the receiver to install a remote access app, while the sender uses formal wording inconsistent with earlier messages and avoids a clear identity check. The suspicious part is that the sender adds emotional pressure after the receiver hesitates while demanding that the receiver share a wallet PIN.",hostel management,Social Media DM,Fake,Voice-Cloned Conversation,Voice Transcript,Voice Cloning,Banking Scam,Critical,Parent,8,fear,Requests secrecy,Block and Escalate
34,"A routine message from Asad discusses sending a polite reminder; the sender uses ordinary conversational language, keeps the tone calm, and gives no instruction involving money or secrecy. The conversation remains focused on coordination rather than pressure or reward.",electricity complaint,SMS,Real,Genuine Human Conversation,Email,None,None,Low,None,1,none,Provides normal verification,Allow
35,"The conversation mixes a realistic personal opening with AI-like rewritten sentences, making the request about exam registration sound smoother and more strategic. The risk increases because the message links exam registration with authority and immediate compliance.",exam registration,Chat App,Suspicious,Human + AI Edited Conversation,Chat App,Mixed Human-AI Editing,Charity Scam,Medium,None,7,authority,Avoids verification,Verify First
36,"A suspicious sender pretends to be Government Officer, claims there is a problem in clinic follow-up, adds emotional pressure after the receiver hesitates, and asks the receiver to confirm a login code. The request becomes unsafe because it combines identity uncertainty with a sensitive action.",clinic follow-up,Social Media DM,Fake,Scam-Oriented Deepfake Conversation,WhatsApp,Impersonation,Lottery Scam,High,Government Officer,8,guilt,Refuses call-back,Warn User
37,"A routine message from Bilal discusses checking availability for a call; the sender accepts a normal call-back, keeps the tone calm, and gives no instruction involving money or secrecy. The sender gives the receiver enough time to check the details before replying.",remote work,WhatsApp,Real,Genuine Human Conversation,Voice Transcript,None,None,Low,None,0,none,No verification needed,Allow
38,"A routine message from Rehan discusses coordinating with a colleague; the sender avoids suspicious links, keeps the tone calm, and gives no instruction involving money or secrecy. The message includes normal context and does not ask the receiver to bypass official steps.",family emergency,SMS,Real,Genuine Human Conversation,Voice Transcript,None,None,Low,None,2,none,Provides normal verification,Allow
39,"The message is suspiciously mixed: it begins with informal human wording, then uses formal wording inconsistent with earlier messages and turns into a carefully persuasive request. The receiver is not given a safe chance to confirm the claim through the pharmacy desk.",hostel management,Chat App,Suspicious,Human + AI Edited Conversation,Email,Polished Manipulation,Investment Scam,Medium,None,3,sympathy,Allows verification,Verify First
40,"The message imitates the property office, creates a deadline around social media account, asks the receiver not to discuss the matter, and discourages the receiver from verifying independently. The conversation attempts to control the receiver's next action rather than allow independent verification.",social media account,Chat App,Fake,Scam-Oriented Deepfake Conversation,Text,Authority Spoofing,Medical Scam,High,Doctor,8,urgency,Pushes immediate action,Warn User
41,"The message imitates the tax support desk, creates a deadline around conference registration, ignores a direct question and repeats the instruction, and discourages the receiver from verifying independently. The risk increases because the message links conference registration with panic and immediate compliance.",conference registration,Voice Transcript,Fake,Voice-Cloned Conversation,Voice Transcript,Speaker Impersonation,Emergency Financial Scam,Critical,Friend,8,panic,Refuses call-back,Block and Escalate
42,"A fake-looking conversation about medical lab report asks the receiver to approve a suspicious request, while the sender refers to a blocked dashboard notification and avoids a clear identity check. The risk increases because the message links medical lab report with fear and immediate compliance.",medical lab report,Social Media DM,Fake,Voice-Cloned Conversation,Voice Transcript,Synthetic Speech,Banking Scam,Critical,Child,7,fear,Pushes immediate action,Block and Escalate
43,"The sender creates a believable story around rescheduling a session, but then asks the receiver not to discuss the matter, applies panic pressure, and requests that the receiver move the chat to another number. The suspicious part is that the sender offers a reward for immediate confirmation while demanding that the receiver reply with card details.",online shopping,WhatsApp,Fake,Voice-Cloned Conversation,Voice Transcript,Voice Cloning,Banking Scam,High,Parent,7,panic,Pushes immediate action,Warn User
44,"In a normal conversation about checking whether a form was received, the sender asks to verify the receipt through normal records, gives enough background, and does not force immediate action. The sender gives the receiver enough time to check the details before replying.",hospital appointment,Social Media DM,Real,Genuine Human Conversation,Text,None,None,Low,None,2,trust,Allows verification,Allow
45,"The message reads like an AI-generated response because it summarizes asking for a prescription refill reminder, uses balanced formal wording, and does not react naturally to the receiver's concern. The receiver is not given a safe chance to confirm the claim through the support center.",parcel delivery,SMS,Fake,AI-Generated Text Conversation,Chat App,LLM-Generated Reply,None,High,Customer Support,4,authority,Pushes immediate action,Warn User
46,"A suspicious sender pretends to be Child, claims there is a problem in insurance claim, adds emotional pressure after the receiver hesitates, and asks the receiver to share a wallet PIN. The request becomes unsafe because it combines identity uncertainty with a sensitive action.",insurance claim,SMS,Fake,Voice-Cloned Conversation,Voice Transcript,Audio Identity Spoofing,Emergency Financial Scam,Critical,Child,10,panic,Pushes immediate action,Block and Escalate
47,"Noor's message begins with a human note about confirming an interview slot, then becomes unusually polished, claims the system will automatically close the request, and adds persuasive pressure near the end. The receiver is not given a safe chance to confirm the claim through the hospital desk.",electricity complaint,WhatsApp,Suspicious,Human + AI Edited Conversation,Chat App,Polished Manipulation,E-commerce Scam,Medium,Investment Advisor,4,trust,Pushes immediate action,Verify First
48,"The generated-looking message provides neat steps for following up on an appointment, but the tone is too uniform and the sender refers to a blocked dashboard notification. The conversation attempts to control the receiver's next action rather than allow independent verification.",research collaboration,Chat App,Fake,AI-Generated Text Conversation,Text,Automated Persuasion,Phishing,Low,Customer Support,1,authority,Pushes immediate action,Allow
49,The automated conversation does not respond meaningfully; it repeats instructions about government service and pressures the receiver to act. The request becomes unsafe because it combines identity uncertainty with a sensitive action.,government service,WhatsApp,Fake,Bot-Generated Conversation,SMS,Scripted Persuasion,Lottery Scam,High,Courier Agent,9,reward,Pushes immediate action,Warn User
50,"Michael's message begins with a human note about confirming an interview slot, then becomes unusually polished, mentions a delayed verification window, and adds persuasive pressure near the end. The request becomes unsafe because it combines identity uncertainty with a sensitive action.",job recruitment,SMS,Suspicious,Human + AI Edited Conversation,Chat App,Polished Manipulation,Charity Scam,High,None,5,reward,Pushes immediate action,Warn User
51,"Asad's message begins with a human note about asking about missing documents, then becomes unusually polished, mentions a delayed verification window, and adds persuasive pressure near the end. The receiver is not given a safe chance to confirm the claim through the exam office.",social media account,Chat App,Suspicious,Human + AI Edited Conversation,Text,Polished Manipulation,Job Scam,Medium,HR Manager,7,authority,Avoids verification,Verify First
52,"The message imitates the conference secretariat, creates a deadline around scholarship application, adds emotional pressure after the receiver hesitates, and discourages the receiver from verifying independently. The request becomes unsafe because it combines identity uncertainty with a sensitive action.",scholarship application,SMS,Fake,Scam-Oriented Deepfake Conversation,Voice Transcript,Emotional Manipulation,Charity Scam,High,Tax Consultant,7,urgency,Avoids verification,Warn User
53,"The text uses smooth transitions and complete sentences about travel booking, yet it feels artificial because it ignores the practical question raised earlier. The conversation attempts to control the receiver's next action rather than allow independent verification.",travel booking,WhatsApp,Fake,AI-Generated Text Conversation,Text,Template-Like Generation,Phishing,High,Customer Support,3,trust,Allows verification,Warn User
54,"The chat has mass-message features, including reward wording, pushes the receiver away from normal support channels, and a request to click an unknown payment link. The suspicious part is that the sender says the issue cannot wait until morning while demanding that the receiver avoid calling the official office.",family emergency,Voice Transcript,Fake,Bot-Generated Conversation,Social Media DM,Scripted Persuasion,Lottery Scam,Medium,Customer Support,8,authority,Avoids verification,Verify First
55,"The exchange concerns clarifying a software installation issue, where Mia provides a reasonable explanation, provides enough context for the request, and waits for the receiver to respond normally. The message includes normal context and does not ask the receiver to bypass official steps.",research collaboration,Voice Transcript,Real,Genuine Human Conversation,Text,None,None,Low,None,0,trust,Provides normal verification,Allow
56,"The reply about asking for a location pin in visa documentation is fluent and overly structured; it gives broad guidance, mentions a deadline that was never announced, and lacks personal conversational memory. The request becomes unsafe because it combines identity uncertainty with a sensitive action.",visa documentation,Email,Fake,AI-Generated Text Conversation,Chat App,LLM-Generated Reply,None,Medium,Customer Support,2,confusion,Pushes immediate action,Verify First
57,"A suspicious sender pretends to be Friend, claims there is a problem in parcel delivery, asks for a screenshot of a confirmation code, and asks the receiver to pay a small release fee. The conversation attempts to control the receiver's next action rather than allow independent verification.",parcel delivery,Voice Transcript,Fake,Voice-Cloned Conversation,Voice Transcript,Synthetic Speech,Medical Scam,Critical,Friend,10,fear,Refuses call-back,Block and Escalate
58,"A fake-looking conversation about government service asks the receiver to pay a small release fee, while the sender claims the old number is unavailable and avoids a clear identity check. The suspicious part is that the sender uses unusually polished wording for a personal emergency while demanding that the receiver upload an identity document.",government service,Voice Transcript,Fake,Voice-Cloned Conversation,Voice Transcript,Synthetic Speech,Emergency Financial Scam,Critical,Doctor,9,sympathy,Requests secrecy,Block and Escalate
59,"A fake-looking conversation about hostel management asks the receiver to upload an identity document, while the sender claims the system will automatically close the request and avoids a clear identity check. The suspicious part is that the sender adds emotional pressure after the receiver hesitates while demanding that the receiver share a wallet PIN.",hostel management,SMS,Fake,Voice-Cloned Conversation,Voice Transcript,Voice Cloning,Emergency Financial Scam,Critical,Parent,8,guilt,Refuses call-back,Block and Escalate
60,"The receiver notices that the sender connects travel booking with a sudden warning, mentions a deadline that was never announced, and pressures the receiver to click an unknown payment link before checking the source. The suspicious part is that the sender asks the receiver not to discuss the matter while demanding that the receiver install a remote access app.",travel booking,Chat App,Fake,Scam-Oriented Deepfake Conversation,WhatsApp,Emotional Manipulation,Tax Refund Scam,Critical,Courier Agent,7,urgency,Pushes immediate action,Block and Escalate
61,"The sender creates a believable story around confirming an interview slot, but then refers to a blocked dashboard notification, applies guilt pressure, and requests that the receiver pay a small release fee. The suspicious part is that the sender asks for a screenshot of a confirmation code while demanding that the receiver pay a small release fee.",pharmacy delivery,Email,Fake,Scam-Oriented Deepfake Conversation,Text,Impersonation,Banking Scam,Critical,Investment Advisor,7,guilt,Pushes immediate action,Block and Escalate
62,"The message imitates the online store, creates a deadline around remote work, mentions a deadline that was never announced, and discourages the receiver from verifying independently. The suspicious part is that the sender adds a reference number without a traceable source while demanding that the receiver pay a small release fee.",remote work,Chat App,Fake,Voice-Cloned Conversation,Voice Transcript,Audio Identity Spoofing,Emergency Financial Scam,High,Child,7,fear,Pushes immediate action,Warn User
63,"The conversation shifts into template-style advice on asking about lunch plans, where the sender sounds helpful but avoids direct personal accountability. The risk increases because the message links school communication with none and immediate compliance.",school communication,WhatsApp,Fake,AI-Generated Text Conversation,Chat App,Automated Persuasion,None,High,Customer Support,5,none,Avoids verification,Warn User
64,"The chat has mass-message features, including reward wording, gives no verifiable institutional contact, and a request to confirm a login code. The suspicious part is that the sender adds emotional pressure after the receiver hesitates while demanding that the receiver approve a suspicious request.",banking,Social Media DM,Fake,Bot-Generated Conversation,Social Media DM,Scripted Persuasion,Parcel Scam,High,Bank Officer,6,authority,Avoids verification,Warn User
65,"The reply about rescheduling a session in telecom support is fluent and overly structured; it gives broad guidance, claims the old number is unavailable, and lacks personal conversational memory. The risk increases because the message links telecom support with none and immediate compliance.",telecom support,Email,Fake,AI-Generated Text Conversation,Chat App,Template-Like Generation,Account Takeover,Medium,HR Manager,4,none,Pushes immediate action,Verify First
66,"The exchange concerns following up on a courier delay, where Mahnoor provides a reasonable explanation, keeps the conversation focused on the original topic, and waits for the receiver to respond normally. The conversation remains focused on coordination rather than pressure or reward.",university administration,Email,Real,Genuine Human Conversation,Email,None,None,Low,None,0,trust,No verification needed,Allow
67,"The text uses smooth transitions and complete sentences about online shopping, yet it feels artificial because it ignores the practical question raised earlier. The risk increases because the message links online shopping with confusion and immediate compliance.",online shopping,WhatsApp,Fake,AI-Generated Text Conversation,Text,LLM-Generated Reply,None,Medium,None,6,confusion,Pushes immediate action,Verify First
68,"The message imitates the scholarship office, creates a deadline around family emergency, ignores a direct question and repeats the instruction, and discourages the receiver from verifying independently. The suspicious part is that the sender asks the receiver not to discuss the matter while demanding that the receiver upload an identity document.",family emergency,Voice Transcript,Fake,Scam-Oriented Deepfake Conversation,Text,Impersonation,Parcel Scam,Critical,Bank Officer,10,fear,Refuses call-back,Block and Escalate
69,"Noah follows up with the support center about rescheduling a session, but the message remains safe because it does not ask for secrecy and avoids emotional pressure. The request is linked to rescheduling a session, and no confidential credential is requested.",internet service,SMS,Real,Genuine Human Conversation,Voice Transcript,None,None,Low,None,2,none,Allows verification,Allow
70,"The conversation starts with a normal greeting and then connects government service with a sudden warning, asks the receiver not to discuss the matter, and pressures the receiver to pay a small release fee before checking the source. The conversation attempts to control the receiver's next action rather than allow independent verification.",government service,SMS,Fake,Scam-Oriented Deepfake Conversation,Text,Emotional Manipulation,Medical Scam,High,University Clerk,8,urgency,Requests secrecy,Warn User
71,"The reply about asking about lunch plans in mobile wallet is fluent and overly structured; it gives broad guidance, mentions a deadline that was never announced, and lacks personal conversational memory. The risk increases because the message links mobile wallet with trust and immediate compliance.",mobile wallet,WhatsApp,Fake,AI-Generated Text Conversation,Email,Synthetic Text Generation,None,Medium,HR Manager,3,trust,Avoids verification,Verify First
72,"A routine message from Laiba discusses confirming office hours; the sender does not pressure the receiver, keeps the tone calm, and gives no instruction involving money or secrecy. The receiver can verify it through the tax support desk, so the risk remains limited.",utility billing,Social Media DM,Real,Genuine Human Conversation,Voice Transcript,None,None,Low,None,1,trust,No verification needed,Allow
73,"A routine message from Asad discusses coordinating with a colleague; the sender accepts a normal call-back, keeps the tone calm, and gives no instruction involving money or secrecy. The conversation remains focused on coordination rather than pressure or reward.",parcel delivery,Social Media DM,Real,Genuine Human Conversation,Email,None,None,Medium,None,1,none,No verification needed,Verify First
74,"The dialogue is consistent with genuine communication because it discusses requesting a revised file, does not introduce a sudden emergency, and contains no hidden identity claim. The receiver can verify it through the HR department, so the risk remains limited.",remote work,Email,Real,Genuine Human Conversation,Text,None,None,Medium,None,1,none,Provides normal verification,Verify First
75,"The exchange concerns checking a meeting time, where Rabia provides a reasonable explanation, provides enough context for the request, and waits for the receiver to respond normally. The conversation remains focused on coordination rather than pressure or reward.",visa documentation,Social Media DM,Real,Genuine Human Conversation,Text,None,None,Medium,None,0,none,Provides normal verification,Verify First
76,"A suspicious sender pretends to be Doctor, claims there is a problem in exam registration, uses formal wording inconsistent with earlier messages, and asks the receiver to reply with card details. The conversation attempts to control the receiver's next action rather than allow independent verification.",exam registration,Chat App,Fake,Voice-Cloned Conversation,Voice Transcript,Voice Cloning,Banking Scam,Critical,Doctor,10,guilt,Pushes immediate action,Block and Escalate
77,"Ali's message begins with a human note about asking for permission to submit late, then becomes unusually polished, claims the old number is unavailable, and adds persuasive pressure near the end. The suspicious part is that the sender uses a new contact number without explanation while demanding that the receiver share a wallet PIN.",pharmacy delivery,WhatsApp,Suspicious,Human + AI Edited Conversation,Text,Persuasive Reframing,Charity Scam,High,Friend,8,trust,Avoids verification,Warn User
78,"A routine message from Bilal discusses checking whether a form was received; the sender keeps the conversation focused on the original topic, keeps the tone calm, and gives no instruction involving money or secrecy. The request is linked to checking whether a form was received, and no confidential credential is requested.",pharmacy delivery,WhatsApp,Real,Genuine Human Conversation,Text,None,None,Medium,None,1,none,Allows verification,Verify First
79,"The conversation mixes a realistic personal opening with AI-like rewritten sentences, making the request about telecom support sound smoother and more strategic. The request becomes unsafe because it combines identity uncertainty with a sensitive action.",telecom support,Chat App,Suspicious,Human + AI Edited Conversation,Text,Mixed Human-AI Editing,Charity Scam,Medium,Customer Support,7,sympathy,Allows verification,Verify First
80,"The conversation shows automated behavior because every reply redirects the receiver toward the same action, even after a different question is asked. The request becomes unsafe because it combines identity uncertainty with a sensitive action.",job recruitment,Voice Transcript,Fake,Bot-Generated Conversation,Chat App,Automated Phishing,Tax Refund Scam,Medium,Bank Officer,8,reward,Avoids verification,Verify First
81,"A fake-looking conversation about telecom support asks the receiver to pay a small release fee, while the sender adds emotional pressure after the receiver hesitates and avoids a clear identity check. The risk increases because the message links telecom support with guilt and immediate compliance.",telecom support,SMS,Fake,Scam-Oriented Deepfake Conversation,Text,Urgency Pressure,E-commerce Scam,Critical,Child,9,guilt,Requests secrecy,Block and Escalate
82,"The dialogue is consistent with genuine communication because it discusses confirming attendance, accepts a normal call-back, and contains no hidden identity claim. The message includes normal context and does not ask the receiver to bypass official steps.",clinic follow-up,Email,Real,Genuine Human Conversation,Text,None,None,Medium,None,2,trust,Allows verification,Verify First
83,"The text uses smooth transitions and complete sentences about property rental, yet it feels artificial because it ignores the practical question raised earlier. The suspicious part is that the sender ignores a direct question and repeats the instruction while demanding that the receiver send a one-time password.",property rental,SMS,Fake,AI-Generated Text Conversation,Email,Synthetic Text Generation,Job Scam,Low,HR Manager,4,trust,Allows verification,Allow
84,"The conversation shows automated behavior because every reply redirects the receiver toward the same action, even after a different question is asked. The receiver is not given a safe chance to confirm the claim through the courier office.",research collaboration,SMS,Fake,Bot-Generated Conversation,SMS,Automated Phishing,Tax Refund Scam,Medium,Customer Support,7,reward,Avoids verification,Verify First
85,"The sender creates a believable story around requesting a fee challan, but then adds a reference number without a traceable source, applies guilt pressure, and requests that the receiver transfer money quickly. The receiver is not given a safe chance to confirm the claim through the government helpdesk.",online shopping,Email,Fake,Voice-Cloned Conversation,Voice Transcript,Voice Cloning,Banking Scam,Critical,Doctor,10,guilt,Pushes immediate action,Block and Escalate
86,"Omar writes about checking a meeting time in the loan approval setting, and the conversation stays practical because the sender accepts a normal call-back and simply asks the receiver to check the appointment slot. The conversation remains focused on coordination rather than pressure or reward.",loan approval,WhatsApp,Real,Genuine Human Conversation,Text,None,None,Low,None,0,none,Allows verification,Allow
